trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.24991851494959946, 'e': 0.4998370298991989}",20,0,-126.06297465969986,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
70,False,"{'a': 0.24741932980010348, 'e': 0.49483865960020695}",20,0,-7.795771807991824,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.24494513650210245, 'e': 0.4898902730042049}",20,0,-97.1581398055363,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.24249568513708142, 'e': 0.48499137027416284}",25,0,-38.42419683486247,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.2400707282857106, 'e': 0.4801414565714212}",30,19,16.309691351419687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.23767002100285348, 'e': 0.47534004200570695}",25,0,-72.60048810309782,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.23529332079282494, 'e': 0.4705866415856499}",25,0,-30.761789402405253,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.23294038758489669, 'e': 0.46588077516979337}",20,9,9.267143307940307,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.23061098370904773, 'e': 0.46122196741809546}",20,0,-33.32824979089778,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.22830487387195725, 'e': 0.4566097477439145}",25,0,-36.3658207079082,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
79,False,"{'a': 0.22602182513323768, 'e': 0.45204365026647536}",20,11,16.88072930764678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.2237616068819053, 'e': 0.4475232137638106}",25,15,-4.495623417351773,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.22152399081308624, 'e': 0.4430479816261725}",25,11,5.1111193906593435,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.21930875090495539, 'e': 0.43861750180991077}",25,0,-51.025889746084395,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
83,False,"{'a': 0.21711566339590582, 'e': 0.43423132679181164}",25,0,-94.3908450711425,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
84,False,"{'a': 0.21494450676194676, 'e': 0.4298890135238935}",25,0,-67.35137481500102,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
85,False,"{'a': 0.2127950616943273, 'e': 0.4255901233886546}",30,20,5.399208996533216,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.210667111077384, 'e': 0.421334222154768}",30,13,-26.66536610785891,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.20856043996661017, 'e': 0.41712087993322033}",20,0,-39.31737432039321,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.20647483556694407, 'e': 0.41294967113388814}",25,8,15.401786451779659,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.20441008721127463, 'e': 0.40882017442254925}",20,8,-64.12700556318079,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
90,False,"{'a': 0.2023659863391619, 'e': 0.4047319726783238}",30,0,-38.521978516885795,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.20034232647577027, 'e': 0.40068465295154054}",25,13,-44.881090344791566,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.19833890321101255, 'e': 0.3966778064220251}",30,0,-145.01694522857392,"{0: 22, 1: 1, 2: 1, 3: 4, 4: 2}",0
93,False,"{'a': 0.19635551417890243, 'e': 0.39271102835780486}",20,0,-100.18169615505863,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
94,False,"{'a': 0.1943919590371134, 'e': 0.3887839180742268}",25,5,-21.999768237894884,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.19244803944674227, 'e': 0.38489607889348454}",25,5,-33.96463709220998,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
96,False,"{'a': 0.19052355905227483, 'e': 0.38104711810454966}",25,0,-66.9317996768493,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
97,False,"{'a': 0.18861832346175209, 'e': 0.37723664692350417}",30,0,-126.9268905498722,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
98,False,"{'a': 0.18673214022713458, 'e': 0.37346428045426916}",20,12,3.9828377131968447,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.18486481882486322, 'e': 0.36972963764972644}",30,5,-66.5519533771727,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",1
100,False,"{'a': 0.1830161706366146, 'e': 0.3660323412732292}",30,0,-33.598913192466306,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.18118600893024844, 'e': 0.3623720178604969}",20,15,1.918933825533939,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.17937414884094596, 'e': 0.3587482976818919}",25,9,13.838903663576053,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.1775804073525365, 'e': 0.355160814705073}",25,0,-132.645795114784,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
104,False,"{'a': 0.17580460327901112, 'e': 0.35160920655802225}",20,0,25.30948413273313,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.174046557246221, 'e': 0.348093114492442}",20,0,-7.582522934837489,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
